City,Country,Latitude,Longitude,Max Temp,Wind Speed,Humidity,Cloudiness,Date
Nalbari,IN,26.45,91.44,78.8,5.84,78,40,1555707600
Omsukchan,RU,62.53,155.8,29.21,10.89,88,84,1555709617
Koumac,NC,-20.56,164.28,80.15,11.65,76,16,1555709617
Mawlaik,MM,23.63,94.42,75.47,3.76,44,0,1555709617
Oistins,BB,13.07,-59.53,80.6,23.04,74,40,1555707600
Jian,IN,25.65,87.89,84.83,5.95,28,29,1555709618
Kanigoro,ID,-8.13,112.22,74.03,3.83,94,100,1555709618
Bull Savanna,JM,17.89,-77.59,83.21,19.98,66,0,1555709618
Tecoanapa,MX,16.99,-99.26,82.4,9.17,69,5,1555706880
Coahuayana,MX,18.62,-100.35,103.91,5.97,14,60,1555709618
Honiara,SB,-9.43,159.96,80.6,3.36,83,75,1555707600
Pedernales,EC,0.07,-80.05,78.17,14.67,87,91,1555709619
Serendah,MY,3.36,101.61,81.03,1.12,88,75,1555709612
Pandan,PH,11.72,122.09,82.31,11.03,76,10,1555709619
Ust-Maya,RU,60.42,134.54,16.97,4.76,94,23,1555709619
Conde,BR,-11.81,-37.61,77.81,5.48,82,55,1555709619
Liberia,CR,10.63,-85.44,85.62,9.17,46,75,1555708587
Smithers,CA,54.78,-127.17,51.8,10.29,29,75,1555707600
Tamiahua,MX,21.28,-97.45,77.63,12.03,52,0,1555709619
Haines Junction,CA,60.75,-137.51,30.65,8.34,34,98,1555709620
Canberra,AU,-35.3,149.1,54.52,5.82,93,90,1555709524
Sinnamary,GF,5.38,-52.96,81.59,14.27,81,91,1555709620
Amos,CA,48.57,-78.12,41.02,8.05,74,75,1555707600
Ibra,OM,22.69,58.55,81.77,5.77,23,0,1555709620
Panacan,PH,7.15,125.66,78.8,2.24,83,75,1555707600
Palana,RU,59.08,159.95,31.91,9.04,84,65,1555709620
Vaitape,PF,-16.52,-151.75,84.65,6.64,72,86,1555709620
Uruzgan,AF,32.93,66.63,49.19,2.68,54,14,1555709621
Dodge City,US,37.75,-100.02,67.21,10.29,25,1,1555709118
Caravelas,BR,-17.73,-39.27,80.15,5.5,80,0,1555709621
Cuite,BR,-6.48,-36.15,74.21,11.36,90,100,1555709621
Kirakira,SB,-10.46,161.92,80.33,1.45,77,100,1555709621
Clyde River,CA,70.47,-68.59,-2.21,3.36,77,90,1555707600
Chebenki,RU,51.93,55.71,32.0,11.18,45,0,1555707600
Golkoy,TR,40.69,37.62,46.4,5.82,61,75,1555707000
Nome,US,30.04,-94.42,71.47,25.28,30,40,1555709621
Lata,IN,30.78,78.62,21.83,10.27,67,40,1555709622
Tutoia,BR,-2.76,-42.27,82.4,6.93,83,40,1555707600
Magadan,RU,59.56,150.8,30.29,9.73,93,100,1555709456
Ponta Delgada,PT,37.73,-25.67,62.6,3.36,93,75,1555707600
Lerwick,GB,60.15,-1.15,50.0,9.17,87,55,1555707000
Tall Kayf,TR,37.08,41.07,44.6,4.7,87,75,1555707600
Harper,US,30.3,-99.24,73.83,11.41,25,1,1555709451
Ghanzi,BW,-21.7,21.65,74.39,9.64,28,0,1555709623
Miura,JP,35.17,139.64,52.23,17.22,76,20,1555709609
Ust-Kulom,RU,61.69,53.69,31.19,4.07,98,98,1555709623
Codrington,AU,-28.95,153.24,67.78,4.43,100,75,1555709329
Nelson Bay,AU,-32.72,152.14,64.54,4.7,100,90,1555709480
Alad,PH,13.37,121.08,75.99,6.78,89,34,1555709417
Galion,US,40.73,-82.79,43.21,14.99,100,90,1555709548
Oleksandrivka,UA,48.74,37.49,40.19,7.14,58,86,1555709624
Kosh-Agach,RU,49.99,88.66,29.57,3.18,57,85,1555709624
Nouadhibou,MR,20.93,-17.03,64.4,17.22,72,0,1555707600
Tibiri,NE,13.59,7.06,85.01,8.7,9,0,1555709624
Nemuro,JP,43.32,145.57,35.51,6.71,67,69,1555709624
Gallup,US,35.53,-108.74,73.4,4.7,11,1,1555707180
Vendas Novas,PT,38.68,-8.46,57.27,4.7,82,20,1555709426
Creel,MX,27.75,-107.63,75.83,8.97,9,93,1555709625
Gryfice,PL,53.91,15.2,40.87,4.7,75,0,1555709578
Kriel,ZA,-26.26,29.26,53.01,1.01,96,2,1555709513
Grand-Lahou,CI,5.24,-5.0,78.89,2.86,88,100,1555709625
Naze,NG,5.43,7.07,82.4,2.24,83,75,1555707600
Srednekolymsk,RU,67.46,153.71,11.21,9.46,86,70,1555709626
College,US,64.86,-147.8,32.5,3.0,86,90,1555709519
Tomatlan,MX,19.93,-105.25,81.59,9.57,64,34,1555709626
Laguna,MX,27.52,-110.01,96.8,13.87,15,75,1555706640
Monkey Bay,MW,-14.08,34.91,74.93,11.68,74,3,1555709627
Polyarnyy,RU,69.2,33.45,30.2,2.24,80,0,1555707600
Porterville,US,36.07,-119.02,84.34,4.7,35,1,1555709534
Muskegon,US,43.23,-86.25,52.23,13.87,41,40,1555709504
Nsanje,MZ,-16.92,35.26,68.45,3.78,96,0,1555709627
Sillod,IN,20.3,75.65,78.8,6.02,36,0,1555707600
Lososina,RU,49.0,140.31,29.39,5.32,84,5,1555709627
Kushima,JP,31.5,131.29,52.18,8.05,93,75,1555709591
Karlskoga,SE,59.33,14.52,45.73,1.12,61,98,1555709613
Havre-Saint-Pierre,CA,50.23,-63.6,35.6,8.05,93,75,1555707600
Stokmarknes,NO,68.56,14.91,42.69,9.17,93,75,1555709498
Tuatapere,NZ,-46.13,167.69,51.01,9.15,97,100,1555709409
Kayasula,RU,44.33,45.0,34.79,6.49,65,100,1555709628
Vanavara,RU,60.35,102.28,16.07,13.51,81,100,1555709628
Anadyr,RU,64.73,177.51,12.09,11.18,78,0,1555709593
Rio Grande City,US,26.38,-98.82,86.94,8.52,17,1,1555709513
Bubaque,GW,11.28,-15.83,78.35,12.84,73,0,1555709629
Bagdarin,RU,54.44,113.59,14.99,18.95,55,0,1555709629
Quatre Cocos,MU,-20.21,57.76,77.83,6.93,83,40,1555709342
San Jeronimo,PE,-13.65,-73.37,65.93,10.76,37,100,1555709629
Tadine,NC,-21.55,167.88,77.99,23.78,79,22,1555709629
Jiangkou,CN,30.7,117.56,62.51,5.91,92,100,1555709630
San Carlos,VE,9.66,-68.59,92.93,2.82,41,83,1555709631
Lazarev,RU,52.23,141.51,33.17,4.88,93,100,1555709631
Dubbo,AU,-32.25,148.6,60.8,12.75,87,0,1555707600
Kuliyapitiya,LK,7.47,80.04,77.0,3.31,94,20,1555708200
Elizabeth City,US,36.3,-76.22,75.49,26.4,69,90,1555709459
Havoysund,NO,71.0,24.66,41.0,16.11,93,99,1555707000
Mareeba,AU,-16.99,145.42,70.32,11.41,83,0,1555709418
Kochubey,RU,44.39,46.54,37.85,6.64,66,56,1555709631
Bronnoysund,NO,65.46,12.2,49.62,11.41,53,9,1555709402
Avera,US,33.19,-82.53,69.75,13.87,73,90,1555709581
Marsh Harbour,BS,26.54,-77.06,77.99,19.95,81,0,1555709632
Sorochinsk,RU,52.43,53.15,35.69,4.74,46,0,1555709632
Richmond,CA,49.16,-123.14,55.8,16.11,82,75,1555709626
Kumluca,TR,36.37,30.29,35.15,6.42,76,0,1555709633
La Peca,PE,-5.61,-78.44,91.49,1.54,32,95,1555709633
Klaksvik,FO,62.23,-6.59,48.2,13.87,93,96,1555708800
Ambulu,ID,-8.35,113.61,80.51,8.16,79,98,1555709633
Tongliao,CN,43.61,122.27,53.51,17.34,26,100,1555709633
Aguimes,ES,27.91,-15.45,64.13,18.34,59,40,1555709573
Ler,NO,63.2,10.3,45.18,5.82,65,0,1555709404
Chor,PK,25.52,69.77,86.09,11.1,24,0,1555709634
Rio Gallegos,AR,-51.62,-69.22,53.6,19.46,58,0,1555707600
Maragogi,BR,-9.01,-35.22,78.89,5.19,85,57,1555709634
Paso de los Toros,UY,-32.81,-56.52,76.73,6.42,62,31,1555709634
Mangaratiba,BR,-22.96,-44.04,77.56,5.82,74,20,1555707600
Wanning,AT,48.64,13.53,54.03,5.82,47,0,1555709608
Kandrian,PG,-6.21,149.55,75.29,2.55,86,61,1555709634
Tabou,CI,4.42,-7.36,77.81,2.37,86,100,1555709635
Touba,SN,14.86,-15.88,83.57,16.24,27,0,1555709635
Majene,ID,-3.54,118.97,84.11,9.44,74,84,1555709635
Barcelona,ES,41.38,2.18,60.55,27.51,55,20,1555709436
Pisco,PE,-13.71,-76.2,74.59,8.05,30,0,1555709433
Chongwe,ZM,-15.33,28.68,64.4,3.36,88,0,1555704000
Ketchikan,US,55.34,-131.65,46.38,6.93,67,90,1555707360
Tank,PK,32.22,70.39,64.13,1.05,58,98,1555709431
Hauterive,FR,46.09,3.45,60.49,8.05,34,0,1555709432
Sangar,RU,63.92,127.47,23.45,17.69,76,99,1555709636
Tekkali,IN,18.62,84.23,79.61,3.4,85,27,1555709636
Khanpur,PK,28.65,70.66,84.65,4.94,25,0,1555709636
Pavilosta,LV,56.89,21.19,43.59,2.24,68,85,1555707000
Bambanglipuro,ID,-7.95,110.28,82.67,13.53,78,100,1555709636
Pemberton,AU,-34.44,116.03,40.42,1.99,98,84,1555709603
Moron,VE,10.49,-68.2,83.03,7.72,66,86,1555709637
Turayf,SA,31.68,38.65,50.0,6.93,71,0,1555707600
Walvis Bay,NA,-22.95,14.51,57.0,1.01,91,38,1555707728
Zharkent,KZ,44.17,80.0,43.43,3.13,76,97,1555709637
Atocha,EC,-1.22,-78.6,57.88,11.41,87,90,1555709555
Zyryanovsk,KZ,49.74,84.27,31.01,1.39,95,100,1555709637
Hong Gai,VN,20.96,107.09,80.6,8.05,94,40,1555707600
Prince Rupert,CA,54.32,-130.32,44.6,8.05,75,75,1555708140
